#x_outof_circle[deg],y_outof_circle[deg]
-7.244076e-01,1.212907e+00
-6.422589e-01,1.234431e+00
-6.257667e-01,1.042380e+00
-5.927075e-01,1.139502e+00
-5.455467e-01,9.657699e-01
-8.268241e-01,-1.216124e+00
-1.587461e+00,6.786757e-01
-1.725971e+00,-7.117655e-01
-1.593936e+00,-5.395679e-01
-1.511324e+00,-8.078423e-01
-1.688712e+00,-7.494009e-01
-1.281631e+00,-9.298742e-01
-1.222644e+00,-1.033181e+00
-1.267019e+00,-1.064465e+00
-1.138812e+00,-1.042058e+00
-1.181222e+00,1.613257e+00
-1.085761e+00,1.384647e+00
-1.302575e+00,1.300054e+00
-7.502805e-01,-1.389115e+00
-9.356717e-01,-1.312775e+00
-1.348214e+00,-7.166337e-01
-1.357617e+00,-8.224245e-01
-1.392974e+00,-1.047171e+00
-9.308776e-01,-1.622802e+00
1.106631e+00,1.322488e+00
9.876464e-01,1.341327e+00
-9.151195e-01,-1.286989e+00
-5.500617e-01,-1.404767e+00
-5.160229e-01,-1.567134e+00
9.572937e-01,1.610973e+00
-1.178179e+00,1.428672e+00
1.056235e+00,1.325373e+00
8.129169e-01,1.499956e+00
-1.929774e+00,-2.244131e-01
-1.896035e+00,4.419786e-02
-1.868417e+00,-3.156767e-01
7.690680e-01,1.685796e+00
-1.833584e+00,-2.405186e-01
1.309002e-01,-1.318698e+00
8.673111e-01,1.453981e+00
1.190842e+00,1.253984e+00
-1.690344e+00,8.795517e-01
9.910618e-01,1.186793e+00
1.479464e+00,1.025316e+00
7.623861e-01,1.669839e+00
-1.410411e+00,1.375522e+00
-1.132440e+00,1.395007e+00
1.048066e+00,1.534265e+00
1.061054e+00,1.375831e+00
1.181899e+00,1.353987e+00
1.139575e+00,1.003188e+00
-1.944245e+00,-3.582045e-01
-7.088640e-01,-1.497616e+00
-1.673573e+00,-8.338940e-01
-1.541132e+00,-1.218157e+00
-1.866384e+00,-3.712883e-01
-1.663612e+00,9.143898e-01
1.107041e+00,1.451029e+00
1.194410e+00,1.406085e+00
9.174798e-01,1.323826e+00
1.064864e+00,1.136722e+00
1.115264e+00,1.566977e+00
9.152903e-01,1.479725e+00
1.389201e+00,1.178684e+00
1.222137e+00,1.154452e+00
1.124458e+00,-1.513723e+00
1.106438e+00,1.644951e+00
-1.818939e+00,-3.305889e-01
-1.758055e+00,9.017562e-01
1.083137e+00,-1.487670e+00
-1.169989e+00,1.605482e+00
-1.345070e+00,1.398545e+00
9.449028e-01,-1.515729e+00
8.621329e-01,-1.448135e+00
1.082008e+00,-1.629680e+00
8.821104e-01,-1.602884e+00
-1.940328e+00,-3.144934e-01
1.015424e+00,-1.502717e+00
1.080889e+00,-1.433905e+00
1.049860e+00,-1.700815e+00
9.194560e-01,-1.512064e+00
9.536189e-01,-8.935099e-01
1.222621e+00,-9.950790e-01
5.375684e-01,1.624213e+00
-1.122746e+00,1.495629e+00
-1.447884e+00,1.153210e+00
-1.472183e+00,1.297609e+00
-1.625329e+00,9.046853e-01
-1.973002e+00,-2.592493e-01
-1.928331e+00,-2.524301e-01
1.124447e+00,-1.539475e+00
1.145446e+00,-8.628151e-01
1.093553e+00,-9.053664e-01
1.037001e+00,-9.359851e-01
-6.637216e-01,-1.323064e+00
-5.748323e-01,-1.325114e+00
-6.830223e-01,-1.351453e+00
-5.658128e-01,-1.359152e+00
-7.401504e-01,-1.386248e+00
-5.513940e-01,-1.393083e+00
5.260072e-01,1.374308e+00
8.227803e-01,1.122155e+00
-7.463277e-01,-1.400238e+00
-7.500401e-01,-1.344716e+00
-9.121621e-01,-1.263531e+00
-7.049477e-01,-1.351031e+00
-3.345629e-01,-1.709869e+00
-6.155855e-01,-1.678785e+00
-1.966129e+00,-2.168720e-01
-8.991868e-01,-1.334923e+00
