#x_cut[deg],y_cut[deg]
1.408090e-01,1.282528e-02
1.363914e-01,1.211874e-03
5.763474e-03,-6.758683e-02
8.920813e-01,2.503380e-01
7.447881e-01,9.574378e-02
9.615586e-01,-1.472509e-01
-1.126325e-01,-1.029331e-02
-9.219791e-02,-2.896169e-02
2.423957e-01,2.031533e-02
1.099520e-01,-3.869968e-02
2.689179e-01,-2.312823e-02
9.105400e-01,3.709103e-01
1.069690e-01,-4.400524e-02
1.160083e-01,-6.104039e-02
-3.849847e-02,-9.939879e-02
2.241414e-01,-5.973926e-02
1.929339e-01,-6.277382e-02
3.195775e-01,-8.144345e-02
9.806981e-01,-4.106781e-02
1.272094e+00,-1.901003e-01
8.959447e-03,-5.357169e-02
1.398792e-01,-4.177140e-02
9.431584e-01,4.100556e-01
9.031242e-01,3.342167e-01
8.614504e-01,2.596300e-01
7.963345e-01,1.386787e-01
7.543071e-01,1.070791e-01
1.153074e+00,5.091356e-02
1.129132e+00,-1.248798e-02
9.825531e-01,-2.962672e-01
1.139793e+00,-2.344496e-01
2.606417e-01,-1.207235e-02
2.542533e-01,-1.789401e-02
9.154917e-01,2.442386e-01
7.561488e-01,1.537652e-01
8.284325e-01,1.494519e-02
8.953649e-01,-5.184205e-02
1.039054e+00,-6.778763e-02
1.312338e+00,-2.550492e-01
8.101429e-01,2.210297e-01
8.914538e-01,1.666955e-01
8.327770e-01,6.865666e-02
9.370133e-01,-5.183102e-02
9.730578e-01,-2.047603e-01
1.193361e+00,-2.683704e-01
1.010708e+00,4.925072e-02
8.911435e-01,8.347171e-02
1.281709e+00,-2.003324e-01
9.584728e-01,-3.232306e-01
8.331221e-01,4.352015e-01
9.671277e-01,3.758454e-01
9.545756e-01,1.619079e-01
6.662310e-01,2.490006e-01
8.541504e-01,1.773891e-01
9.285306e-01,-3.549690e-02
9.216271e-01,-1.264741e-01
1.222462e+00,-1.436435e-01
9.285672e-01,-2.228840e-01
1.142913e+00,-2.807563e-01
7.614736e-02,-7.765553e-02
5.378976e-02,-1.034132e-01
9.188386e-01,3.725824e-01
9.853892e-01,6.390066e-02
9.522721e-01,-1.392166e-02
8.530598e-01,-5.937800e-02
1.075535e+00,-1.097727e-01
1.105353e+00,-3.173071e-01
1.115570e+00,-4.267567e-01
2.636075e-01,-4.080117e-02
6.781210e-01,2.854709e-01
8.007378e-01,2.889365e-01
1.071165e+00,2.216529e-01
